User ID,Username,Left Count,Right Count,Total Pair Matches,Total Earnings (Rs)
1,company_uat_1,0,0,2,5496850
2,company_uat_2,0,0,7034,7031600
3,company_uat_3,0,0,4139,3975850
4,user_52f68eb304b1,0,0,3531,3526200
5,user_93b93e1d1f57,0,0,3500,3500650
6,user_40e8848c6b2b,0,0,2196,2068150
7,user_c0a879dc0486,0,0,1743,1742200
8,user_fb04926edb47,0,0,1766,1766350
9,user_86486d299b39,0,0,1756,1755100
10,user_0800e0efd5b0,0,0,1749,1749050
11,user_5c64a9c477dc,0,0,1757,1752000
12,user_6dddfef1d302,0,0,1087,1054350
13,user_e34270efb087,0,0,882,880800
14,user_4c625896ca3e,0,0,867,867150
15,user_c5b05e2bc193,0,0,874,873650
16,user_c5403108bf0d,0,0,889,886450
17,user_e94f3159ea2c,0,0,881,879750
18,user_dcc4e62e0e0b,0,0,878,878300
19,user_03733f6a113a,0,0,877,875950
20,user_a64d7d8cc9ca,0,0,875,873150
21,user_5ed66c656ec3,0,0,878,875750
22,user_7b35c535e2c8,0,0,873,874450
23,user_69fbed4fa2de,0,0,874,872150
24,user_0eb5ab70cb91,0,0,544,589750
25,user_c30837881f44,0,0,435,433700
26,user_2218c9d99f9c,0,0,439,437750
27,user_380cfded461a,0,0,444,442000
28,user_bffb1be35be1,0,0,430,428800
29,user_2ce9322126f4,0,0,441,438000
30,user_01ab37d83c62,0,0,438,436800
31,user_549aad6e3ea3,0,0,438,436250
32,user_37344674effc,0,0,444,441600
33,user_e77012522670,0,0,443,441250
34,user_fbfb01de7093,0,0,437,435250
35,user_0c2a661c3ff3,0,0,443,442850
36,user_43fd9b258bdb,0,0,440,439050
37,user_e0d37bf1959f,0,0,441,439000
38,user_57f633365779,0,0,440,437100
39,user_893acd6270a4,0,0,440,436700
40,user_bbd9821c0479,0,0,440,437250
41,user_e7bfc6495d45,0,0,436,433500
42,user_761dc23a9d5c,0,0,438,436450
43,user_5ac2a6215669,0,0,438,437250
44,user_49465aea43fc,0,0,436,435750
45,user_64b034181097,0,0,443,439700
