19	1	3000.00	100	28	23
20	1	3000.00	100	29	23
21	1	3000.00	100	30	25
22	1	3000.00	100	31	23
23	1	3000.00	100	32	25
24	1	3000.00	100	33	23
25	1	3000.00	100	34	25
26	1	3000.00	50	35	53
27	1	3000.00	50	36	53
28	1	3000.00	100	37	23
29	1	3000.00	50	38	53
30	1	3000.00	50	39	53
31	1	3000.00	50	40	53
32	1	3000.00	100	41	23
33	1	3000.00	50	42	53
34	1	3000.00	50	43	53
35	1	3000.00	100	44	23
36	1	3000.00	50	45	53
37	1	3000.00	50	46	53
38	1	3000.00	100	47	23
39	1	3000.00	50	48	53
40	1	3000.00	50	49	53
41	1	3000.00	100	50	23
42	1	3000.00	100	51	25
43	1	3000.00	100	52	23
44	1	3000.00	50	53	53
45	1	3000.00	50	54	53
46	1	3000.00	50	55	53
47	1	3000.00	50	56	53
48	1	3000.00	50	57	53
49	1	3000.00	100	58	25
50	1	3000.00	100	59	25
51	1	3000.00	100	60	23
52	1	3000.00	100	61	23
53	1	3000.00	100	62	25
54	1	3000.00	100	63	23
55	1	3000.00	100	64	25
56	1	3000.00	100	65	23
57	1	3000.00	50	66	53
58	1	3000.00	100	67	23
59	1	3000.00	100	68	23
60	1	3000.00	100	69	23
61	1	3000.00	100	70	23
62	1	3000.00	50	71	53
63	1	3000.00	100	72	23
64	1	3000.00	50	73	53
65	1	3000.00	50	74	53
66	1	3000.00	50	75	53
67	1	3000.00	100	76	23
68	1	3000.00	100	77	23
69	1	3000.00	50	78	53
70	1	3000.00	100	79	23
71	1	3000.00	100	80	23
\.


