1	1000.00	credit	deposit	Auto-deposit from Payin test1	2026-01-22 04:07:53.829+00	2	1	0.00	0.00	\N
2	100000.00	credit	deposit	Auto-deposit from Payin testtt1	2026-01-23 06:47:36.535+00	3	1	0.00	0.00	\N
4	-25000.00		purchase	Purchase of Order	2026-01-23 09:54:16.279+00	\N	1	0.00	0.00	\N
5	3000.00	credit	deposit	Auto-deposit from Payin utrnumbet	2026-01-23 10:07:14.298+00	4	1	0.00	0.00	\N
6	3000.00	credit	deposit	Auto-deposit from Payin 639215100286	2026-01-26 12:44:28.753+00	7	31	0.00	0.00	\N
7	-3000.00		purchase	Purchase of Order	2026-01-26 12:47:17.443+00	\N	31	0.00	0.00	\N
8	500.00	debit	withdrawal	Withdrawal Approved. Net: 400.0, TDS: 50.0, TopUp: 50.0	2026-01-27 06:56:40.259+00	\N	47	50.00	50.00	1
9	100.00	debit	purchase		2026-01-27 06:56:40.278+00	\N	47	0.00	0.00	\N
10	200.00	credit	binary_income		2026-01-27 06:56:40.298+00	\N	47	0.00	0.00	\N
15	1000.00	credit	deposit	Initial Balance	2026-01-27 07:07:23.013+00	\N	50	0.00	0.00	\N
16	400.00	debit	withdrawal	Withdrawal Approved (Net Pay)	2026-01-27 07:07:23.038+00	\N	50	0.00	0.00	3
17	50.00	debit	tds	Withdrawal TDS Deduction	2026-01-27 07:07:23.048+00	\N	50	0.00	0.00	3
18	50.00	debit	top_up	Withdrawal Top-Up Deduction	2026-01-27 07:07:23.057+00	\N	50	0.00	0.00	3
19	50.00	credit	top_up	Top-Up from Withdrawal	2026-01-27 07:07:23.066+00	\N	50	0.00	0.00	3
20	3000.00	deposit	pin_credit	Pin Redeemed by root (Code: 11450C0345)	2026-01-27 15:09:35.854+00	\N	1	0.00	0.00	\N
21	3000.00	credit	deposit	Pin Redeemed by root (Code: 261DF3A873)	2026-01-29 05:17:05.782+00	\N	1	0.00	0.00	\N
22	800.00	debit	withdrawal	Withdrawal Approved (Net Pay)	2026-01-29 05:44:34.173+00	\N	1	0.00	0.00	4
23	200.00	debit	tds	Withdrawal TDS Deduction	2026-01-29 05:44:34.175+00	\N	1	0.00	0.00	4
24	100.00	credit	top_up	Top-Up from Withdrawal	2026-01-29 05:44:34.176+00	\N	1	0.00	0.00	4
25	-3000.00		purchase	Purchase of Order	2026-01-29 05:52:23.599+00	\N	1	0.00	0.00	\N
26	900.00	debit	withdrawal	Withdrawal Approved (Net Pay)	2026-01-29 05:53:02.157+00	\N	1	0.00	0.00	5
27	100.00	debit	tds	Withdrawal TDS Deduction	2026-01-29 05:53:02.158+00	\N	1	0.00	0.00	5
28	100.00	debit	top_up	Top-Up from Withdrawal	2026-01-29 05:53:02.159+00	\N	1	0.00	0.00	5
29	900.00	debit	withdrawal	Withdrawal Approved (Net Pay)	2026-01-29 06:00:06.619+00	\N	1	0.00	0.00	6
30	100.00	debit	tds	Withdrawal TDS Deduction	2026-01-29 06:00:06.62+00	\N	1	0.00	0.00	6
31	100.00	debit	top_up	Top-Up from Withdrawal	2026-01-29 06:00:06.621+00	\N	1	0.00	0.00	6
32	3000.00	credit	deposit	Pin Redeemed by root (Code: 10BACA5A71)	2026-02-19 09:47:44.154+00	\N	121	0.00	0.00	\N
33	3000.00	credit	deposit	Pin Redeemed by root (Code: 262F87C63D)	2026-02-19 09:48:06.274+00	\N	121	0.00	0.00	\N
34	3000.00	credit	deposit	Pin Redeemed by root (Code: 31BDA36777)	2026-02-19 09:48:19.884+00	\N	121	0.00	0.00	\N
35	3000.00	credit	deposit	Pin Redeemed by root (Code: 3E7C645D94)	2026-02-19 09:48:52.802+00	\N	121	0.00	0.00	\N
36	-3000.00		purchase	Purchase of Order	2026-02-19 10:19:31.923+00	\N	121	0.00	0.00	\N
37	3000.00	debit	pin_purchase	Pin Purchase	2026-02-19 10:51:34.586+00	\N	121	0.00	0.00	\N
38	3000.00	debit	pin_purchase	Pin Purchase	2026-02-19 10:53:57.727+00	\N	121	0.00	0.00	\N
39	3000.00	debit	pin_purchase	Pin Purchase	2026-02-19 10:53:57.75+00	\N	121	0.00	0.00	\N
40	10000.00	credit	deposit	Auto-deposit from Payin 65241713	2026-02-19 10:56:04.692+00	14	121	0.00	0.00	\N
41	3000.00	debit	pin_purchase	Pin Purchase	2026-02-19 11:01:14.17+00	\N	121	0.00	0.00	\N
42	3000.00	debit	pin_purchase	Pin Purchase	2026-02-19 11:01:14.195+00	\N	121	0.00	0.00	\N
43	3000.00	debit	pin_purchase	Pin Purchase	2026-02-19 11:01:14.214+00	\N	121	0.00	0.00	\N
44	3000.00	credit	deposit	Pin Redeemed by VN3122841 (Code: E5C2AC5787)	2026-02-19 11:03:16.364+00	\N	122	0.00	0.00	\N
45	-3000.00		purchase	Purchase of Order	2026-02-19 11:04:55.738+00	\N	122	0.00	0.00	\N
46	3000.00	credit	deposit	Pin Redeemed by VN3122841 (Code: 72344E08B4)	2026-02-19 11:09:07.328+00	\N	123	0.00	0.00	\N
47	-3000.00		purchase	Purchase of Order	2026-02-19 11:11:49.813+00	\N	123	0.00	0.00	\N
48	3000.00	credit	deposit	Pin Redeemed by VN3122841 (Code: 72E024C34C)	2026-02-19 11:20:35.322+00	\N	124	0.00	0.00	\N
49	-3000.00		purchase	Purchase of Order	2026-02-19 11:26:15.272+00	\N	124	0.00	0.00	\N
50	500.00	deposit	binary_income	Binary match reward (Deducted L:100 R:200)	2026-02-19 11:26:15.346+00	\N	121	0.00	0.00	\N
51	12000.00	credit	deposit	Auto-deposit from Payin 119050014484	2026-02-23 13:08:09.093+00	17	17	0.00	0.00	\N
52	3000.00	debit	pin_purchase	Pin Purchase	2026-02-23 13:09:35.985+00	\N	17	0.00	0.00	\N
53	3000.00	debit	pin_purchase	Pin Purchase	2026-02-23 13:09:36.019+00	\N	17	0.00	0.00	\N
54	3000.00	debit	pin_purchase	Pin Purchase	2026-02-23 13:09:36.04+00	\N	17	0.00	0.00	\N
55	3000.00	debit	pin_purchase	Pin Purchase	2026-02-23 13:09:36.058+00	\N	17	0.00	0.00	\N
56	3000.00	credit	deposit	Pin Redeemed by root (Code: A321F88DA6)	2026-02-24 12:51:36.764594+00	\N	25	0.00	0.00	\N
57	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 8	2026-02-24 12:51:36.857531+00	\N	25	0.00	0.00	\N
58	3000.00	credit	deposit	Pin Redeemed by VN2813230 (Code: C239AA46AB)	2026-02-24 14:35:52.942324+00	\N	51	0.00	0.00	\N
59	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 14	2026-02-24 14:35:53.025035+00	\N	51	0.00	0.00	\N
60	3000.00	credit	deposit	Pin Redeemed by VN2813230 (Code: B724109E0E)	2026-02-24 14:36:25.254652+00	\N	101	0.00	0.00	\N
61	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 14	2026-02-24 14:36:25.342589+00	\N	101	0.00	0.00	\N
62	500.00	deposit	binary_income	Binary match reward (Deducted L:100 R:200)	2026-02-24 14:36:26.340352+00	\N	1	0.00	0.00	\N
63	3000.00	credit	deposit	Pin Redeemed by VN2813230 (Code: E5ACDB5158)	2026-02-24 14:36:49.345087+00	\N	125	0.00	0.00	\N
64	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 14	2026-02-24 14:36:49.434183+00	\N	125	0.00	0.00	\N
65	3000.00	credit	deposit	Pin Redeemed by VN2813230 (Code: 181F9CA749)	2026-02-24 14:37:11.879999+00	\N	126	0.00	0.00	\N
66	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 14	2026-02-24 14:37:11.972629+00	\N	126	0.00	0.00	\N
67	3000.00	credit	deposit	Pin Redeemed by VN2813230 (Code: 874898F34F)	2026-02-24 16:31:45.794039+00	\N	28	0.00	0.00	\N
68	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 8	2026-02-24 16:31:45.875878+00	\N	28	0.00	0.00	\N
69	500.00	deposit	binary_income	Binary match reward (Deducted L:100 R:200)	2026-02-24 16:31:46.747961+00	\N	1	0.00	0.00	\N
76	3000.00	credit	deposit	Pin Redeemed by VN2813230 (Code: 4026BC54BA)	2026-02-24 16:33:59.54531+00	\N	98	0.00	0.00	\N
77	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 14	2026-02-24 16:33:59.636872+00	\N	98	0.00	0.00	\N
84	3000.00	credit	deposit	Auto-deposit from Payin 119112558688	2026-02-25 04:47:45.606051+00	18	17	0.00	0.00	\N
97	3000.00	credit	deposit	Pin Redeemed by root (Code: E00E7203F6)	2026-03-01 05:52:26.134326+00	\N	110	0.00	0.00	\N
98	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 23	2026-03-01 05:52:26.224438+00	\N	110	0.00	0.00	\N
99	3000.00	credit	deposit	Pin Redeemed by VN2813230 (Code: 71ABE39F74)	2026-03-04 05:17:07.078595+00	\N	42	0.00	0.00	\N
100	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 23	2026-03-04 05:17:07.294417+00	\N	42	0.00	0.00	\N
101	500.00	deposit	binary_income	Binary match reward (Deducted L:100 R:200)	2026-03-04 05:17:09.590976+00	\N	17	0.00	0.00	\N
106	3000.00	credit	deposit	Pin Redeemed by VN2813230 (Code: 5C59E62442)	2026-03-04 05:18:02.169419+00	\N	43	0.00	0.00	\N
107	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 25	2026-03-04 05:18:02.388191+00	\N	43	0.00	0.00	\N
108	500.00	deposit	binary_income	Binary match reward (Deducted L:200 R:100)	2026-03-04 05:18:05.410028+00	\N	1	0.00	0.00	\N
109	3000.00	credit	deposit	Pin Redeemed by VN2813230 (Code: F56863525F)	2026-03-04 05:20:26.13851+00	\N	106	0.00	0.00	\N
110	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 23	2026-03-04 05:20:26.356996+00	\N	106	0.00	0.00	\N
111	500.00	deposit	binary_income	Binary match reward (Deducted L:200 R:100)	2026-03-04 05:20:27.76867+00	\N	28	0.00	0.00	\N
117	3000.00	credit	deposit	Pin Redeemed by VN2813230 (Code: C461B57E3F)	2026-03-04 07:18:14.304489+00	\N	108	0.00	0.00	\N
118	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 25	2026-03-04 07:18:14.528687+00	\N	108	0.00	0.00	\N
119	3000.00	debit	pin_purchase	Pin Purchase	2026-03-04 10:34:16.359578+00	\N	17	0.00	0.00	\N
120	3000.00	debit	pin_purchase	Pin Purchase	2026-03-04 10:34:16.686186+00	\N	17	0.00	0.00	\N
121	3000.00	debit	pin_purchase	Pin Purchase	2026-03-04 10:34:17.002275+00	\N	17	0.00	0.00	\N
122	3000.00	debit	pin_purchase	Pin Purchase	2026-03-04 10:34:17.330133+00	\N	17	0.00	0.00	\N
123	3000.00	credit	deposit	Pin Redeemed by VN2813230 (Code: DD163D009F)	2026-03-04 16:37:46.316857+00	\N	44	0.00	0.00	\N
124	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 23	2026-03-04 16:37:46.541868+00	\N	44	0.00	0.00	\N
125	3000.00	credit	deposit	Pin Redeemed by VN2813230 (Code: CED356AEFC)	2026-03-04 16:38:48.004522+00	\N	127	0.00	0.00	\N
126	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 25	2026-03-04 16:38:48.221733+00	\N	127	0.00	0.00	\N
127	500.00	deposit	binary_income	Binary match reward (Deducted L:100 R:200)	2026-03-04 16:38:49.989423+00	\N	28	0.00	0.00	\N
103	200.00	credit	level_income	Level 2 Matching Income from VN2813230's Binary Match	2026-03-04 05:17:10.610765+00	\N	11	0.00	0.00	\N
104	150.00	credit	level_income	Level 3 Matching Income from VN2813230's Binary Match	2026-03-04 05:17:11.112171+00	\N	10	0.00	0.00	\N
105	50.00	credit	level_income	Level 4 Matching Income from VN2813230's Binary Match	2026-03-04 05:17:11.618387+00	\N	1	0.00	0.00	\N
112	250.00	credit	level_income	Level 1 Matching Income from VN8171363's Binary Match	2026-03-04 05:20:28.588956+00	\N	27	0.00	0.00	\N
113	200.00	credit	level_income	Level 2 Matching Income from VN8171363's Binary Match	2026-03-04 05:20:29.143841+00	\N	17	0.00	0.00	\N
114	150.00	credit	level_income	Level 3 Matching Income from VN8171363's Binary Match	2026-03-04 05:20:29.707703+00	\N	12	0.00	0.00	\N
115	50.00	credit	level_income	Level 4 Matching Income from VN8171363's Binary Match	2026-03-04 05:20:30.21988+00	\N	11	0.00	0.00	\N
116	50.00	credit	level_income	Level 5 Matching Income from VN8171363's Binary Match	2026-03-04 05:20:30.732338+00	\N	10	0.00	0.00	\N
133	75000.00	credit	deposit	Auto-deposit from Payin 768182526941	2026-03-04 21:27:52.89294+00	19	17	0.00	0.00	\N
134	3000.00	credit	deposit	Pin Redeemed by VN2813230 (Code: AEF1E3AB76)	2026-03-05 01:23:36.54588+00	\N	133	0.00	0.00	\N
135	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 53	2026-03-05 01:23:36.7682+00	\N	133	0.00	0.00	\N
136	3000.00	credit	deposit	Pin Redeemed by VN2813230 (Code: 9A4FBAF839)	2026-03-05 01:28:36.532881+00	\N	45	0.00	0.00	\N
137	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 53	2026-03-05 01:28:36.754257+00	\N	45	0.00	0.00	\N
138	3000.00	debit	pin_purchase	Pin Purchase	2026-03-06 06:54:42.6263+00	\N	28	0.00	0.00	\N
139	3000.00	credit	deposit	Pin Redeemed by VN8171363 (Code: BE20275819)	2026-03-06 06:55:46.932444+00	\N	134	0.00	0.00	\N
140	3000.00	debit	purchase	Order Checkout via Pin Redemption for Product ID: 23	2026-03-06 06:55:47.170017+00	\N	134	0.00	0.00	\N
141	500.00	deposit	binary_income	Binary match reward (Deducted L:100 R:200)	2026-03-06 06:55:48.372496+00	\N	37	0.00	0.00	\N
147	3000.00	credit	deposit	Auto-deposit from Payin 119582680598	2026-03-06 07:07:29.563411+00	20	28	0.00	0.00	\N
102	250.00	credit	level_income	Level 1 Matching Income from VN2813230's Binary Match	2026-03-04 05:17:10.101531+00	\N	12	0.00	0.00	\N
128	250.00	credit	level_income	Level 1 Matching Income from VN8171363's Binary Match	2026-03-04 16:38:50.490379+00	\N	27	0.00	0.00	\N
129	200.00	credit	level_income	Level 2 Matching Income from VN8171363's Binary Match	2026-03-04 16:38:50.993789+00	\N	17	0.00	0.00	\N
130	150.00	credit	level_income	Level 3 Matching Income from VN8171363's Binary Match	2026-03-04 16:38:51.502094+00	\N	12	0.00	0.00	\N
131	50.00	credit	level_income	Level 4 Matching Income from VN8171363's Binary Match	2026-03-04 16:38:52.007732+00	\N	11	0.00	0.00	\N
