16	0.00	2026-01-24 12:55:41.307+00	16	0.00
19	0.00	2026-01-26 04:42:00.825+00	19	0.00
20	0.00	2026-01-26 11:51:50.45+00	20	0.00
21	0.00	2026-01-26 11:54:42.056+00	21	0.00
22	0.00	2026-01-26 11:57:24.035+00	22	0.00
23	0.00	2026-01-26 11:59:39.242+00	23	0.00
24	0.00	2026-01-26 12:00:19.614+00	24	0.00
26	0.00	2026-01-26 12:06:59.564+00	26	0.00
30	0.00	2026-01-26 12:20:40.244+00	30	0.00
31	0.00	2026-01-26 12:47:17.449+00	31	0.00
32	0.00	2026-01-26 13:44:10.957+00	32	0.00
36	0.00	2026-01-27 05:40:29.331+00	36	0.00
38	0.00	2026-01-27 05:48:52.661+00	38	0.00
39	0.00	2026-01-27 05:49:52.486+00	39	0.00
40	0.00	2026-01-27 05:50:47.945+00	40	0.00
41	0.00	2026-01-27 05:53:42.63+00	41	0.00
46	0.00	2026-01-27 06:15:38.754+00	46	0.00
47	100.00	2026-01-27 06:56:40.303+00	47	50.00
48	0.00	2026-01-27 06:56:40.225+00	48	0.00
50	500.00	2026-01-27 07:07:23.071+00	50	50.00
52	0.00	2026-01-28 06:51:25.755+00	52	0.00
53	0.00	2026-01-28 12:10:46.305+00	53	0.00
54	0.00	2026-01-28 12:13:35.812+00	54	0.00
55	0.00	2026-01-28 12:14:16.774+00	55	0.00
56	0.00	2026-01-28 12:16:09.9+00	56	0.00
57	0.00	2026-01-28 12:16:25.926+00	57	0.00
58	0.00	2026-01-28 12:20:00.26+00	58	0.00
59	0.00	2026-01-28 12:21:20.938+00	59	0.00
60	0.00	2026-01-28 12:22:19.959+00	60	0.00
61	0.00	2026-01-28 12:23:45.338+00	61	0.00
62	0.00	2026-01-28 12:25:20.003+00	62	0.00
63	0.00	2026-01-28 12:27:49.528+00	63	0.00
64	0.00	2026-01-28 12:30:40.251+00	64	0.00
68	0.00	2026-02-04 13:46:53.068+00	68	0.00
69	0.00	2026-02-04 13:49:49.659+00	69	0.00
70	0.00	2026-02-06 05:59:45.382+00	70	0.00
71	0.00	2026-02-06 06:03:04.404+00	71	0.00
73	0.00	2026-02-15 00:43:08.89+00	73	0.00
74	0.00	2026-02-15 00:48:47.834+00	74	0.00
75	0.00	2026-02-15 00:52:29.593+00	75	0.00
76	0.00	2026-02-15 01:20:19.007+00	76	0.00
77	0.00	2026-02-15 01:23:45.573+00	77	0.00
78	0.00	2026-02-15 01:25:52.755+00	78	0.00
79	0.00	2026-02-15 01:29:44.837+00	79	0.00
80	0.00	2026-02-15 01:31:36.653+00	80	0.00
81	0.00	2026-02-15 01:33:08.397+00	81	0.00
84	0.00	2026-02-15 11:32:54.129+00	84	0.00
85	0.00	2026-02-15 11:47:56.445+00	85	0.00
90	0.00	2026-02-15 12:33:46.164+00	90	0.00
91	0.00	2026-02-15 12:37:27.777+00	91	0.00
97	0.00	2026-02-16 06:36:44.441+00	97	0.00
99	0.00	2026-02-16 10:26:19.921+00	99	0.00
100	0.00	2026-02-16 10:48:34.204+00	100	0.00
102	0.00	2026-02-16 12:05:53.736+00	102	0.00
103	0.00	2026-02-16 12:08:32.076+00	103	0.00
104	0.00	2026-02-16 13:35:27.779+00	104	0.00
105	0.00	2026-02-16 13:38:27.327+00	105	0.00
107	0.00	2026-02-16 13:55:51.982+00	107	0.00
109	0.00	2026-02-19 05:19:02.872+00	109	0.00
111	0.00	2026-02-19 05:57:54.155+00	111	0.00
112	0.00	2026-02-19 06:06:30.761+00	112	0.00
113	0.00	2026-02-19 06:12:13.402+00	113	0.00
114	0.00	2026-02-19 06:26:42.517+00	114	0.00
115	0.00	2026-02-19 08:20:12.056+00	115	0.00
116	0.00	2026-02-19 08:35:42.514+00	116	0.00
117	0.00	2026-02-19 08:35:49.375+00	117	0.00
118	0.00	2026-02-19 08:39:00.851+00	118	0.00
119	0.00	2026-02-19 08:42:53.222+00	119	0.00
120	0.00	2026-02-19 08:46:36.581+00	120	0.00
121	1500.00	2026-02-19 11:26:15.356+00	121	0.00
122	0.00	2026-02-19 11:04:55.747+00	122	0.00
123	0.00	2026-02-19 11:11:49.825+00	123	0.00
124	0.00	2026-02-19 11:26:15.281+00	124	0.00
25	0.00	2026-02-24 12:51:36.888837+00	25	0.00
125	750.00	2026-03-11 05:57:19.218463+00	125	0.00
42	1000.00	2026-03-10 16:58:28.530354+00	42	0.00
43	0.00	2026-03-04 05:18:02.460266+00	43	0.00
101	0.00	2026-02-24 14:36:25.371241+00	101	0.00
126	0.00	2026-02-24 14:37:12.00235+00	126	0.00
106	0.00	2026-03-04 05:20:26.430898+00	106	0.00
128	0.00	2026-02-27 07:50:30.684105+00	128	0.00
108	0.00	2026-03-04 07:18:14.604187+00	108	0.00
129	0.00	2026-02-27 07:55:34.344444+00	129	0.00
98	0.00	2026-02-24 16:33:59.665533+00	98	0.00
130	0.00	2026-02-27 11:09:47.482525+00	130	0.00
110	0.00	2026-03-01 05:52:26.253818+00	110	0.00
131	0.00	2026-03-03 10:38:38.240521+00	131	0.00
132	0.00	2026-03-03 10:39:19.22511+00	132	0.00
37	1000.00	2026-03-10 16:58:28.922366+00	37	0.00
67	0.00	2026-03-08 12:49:02.082755+00	67	0.00
44	0.00	2026-03-04 16:37:46.61644+00	44	0.00
127	0.00	2026-03-04 16:38:48.293028+00	127	0.00
133	0.00	2026-03-05 01:23:36.843727+00	133	0.00
89	0.00	2026-03-08 12:56:57.546872+00	89	0.00
45	0.00	2026-03-05 01:28:36.827398+00	45	0.00
66	0.00	2026-03-08 12:48:24.482717+00	66	0.00
72	0.00	2026-03-08 12:49:46.40589+00	72	0.00
134	0.00	2026-03-06 06:55:47.248108+00	134	0.00
83	0.00	2026-03-08 12:50:57.720735+00	83	0.00
82	0.00	2026-03-08 12:50:20.934599+00	82	0.00
51	2950.00	2026-03-11 05:57:19.600775+00	51	0.00
86	0.00	2026-03-08 12:51:42.789656+00	86	0.00
18	1650.00	2026-03-11 05:57:19.981218+00	18	0.00
87	0.00	2026-03-08 12:52:15.616756+00	87	0.00
88	0.00	2026-03-08 12:52:55.42087+00	88	0.00
29	500.00	2026-03-24 17:22:05.403395+00	29	0.00
93	0.00	2026-03-08 12:54:22.822642+00	93	0.00
94	0.00	2026-03-08 12:54:52.893264+00	94	0.00
95	0.00	2026-03-08 12:55:40.969095+00	95	0.00
96	0.00	2026-03-08 12:56:13.447522+00	96	0.00
92	500.00	2026-03-08 12:56:14.519329+00	92	0.00
65	250.00	2026-03-08 12:56:14.90427+00	65	0.00
35	200.00	2026-03-08 12:56:15.283619+00	35	0.00
34	150.00	2026-03-08 12:56:15.66291+00	34	0.00
28	2650.00	2026-03-24 17:22:08.237234+00	28	0.00
27	1750.00	2026-03-24 17:22:08.62937+00	27	0.00
17	3050.00	2026-03-24 17:22:11.653319+00	17	0.00
206	0.00	2026-03-24 17:22:03.969416+00	206	0.00
12	4450.00	2026-03-24 17:22:12.049125+00	12	0.00
