1	500.00	approved		2026-01-27 06:56:40.242+00	2026-01-27 06:56:40.248+00	47	0.00	0.00	0.00
3	500.00	approved		2026-01-27 07:07:23.027+00	2026-01-27 07:07:23.032+00	50	0.00	0.00	0.00
4	1000.00	approved		2026-01-29 05:43:57.583+00	2026-01-29 05:44:34.17+00	1	0.00	0.00	0.00
5	1000.00	approved		2026-01-29 05:52:48.16+00	2026-01-29 05:53:02.153+00	1	0.00	0.00	0.00
6	1000.00	approved		2026-01-29 05:59:37.843+00	2026-01-29 06:00:06.617+00	1	0.00	0.00	0.00
7	500.00	pending		2026-02-04 13:23:21.363+00	2026-02-04 13:23:21.363+00	1	0.00	0.00	0.00
8	500.00	pending		2026-03-10 07:56:25.28462+00	2026-03-10 07:56:25.284637+00	28	0.00	0.00	0.00
9	1750.00	pending		2026-03-10 08:02:45.337926+00	2026-03-10 08:02:45.337939+00	28	0.00	0.00	0.00
10	1000.00	pending		2026-03-11 12:08:58.637644+00	2026-03-11 12:08:58.637662+00	28	0.00	0.00	0.00
11	2000.00	pending		2026-03-12 09:57:48.636383+00	2026-03-12 09:57:48.636401+00	17	0.00	0.00	0.00
12	2150.00	pending		2026-03-12 16:53:09.647958+00	2026-03-12 16:53:09.647976+00	28	0.00	0.00	0.00
\.


