87	L	t	0.00	2026-02-15 12:00:08.686+00	2026-03-08 12:56:58.207161+00	86	86	87	550	0	550	0	7	0	
139	L	t	0.00	2026-03-08 14:12:36.125714+00	2026-03-10 16:57:27.793456+00	44	42	139	100	0	100	0	1	0	
86	L	t	0.00	2026-02-15 11:53:43.074+00	2026-03-08 12:56:58.3537+00	85	35	86	600	0	600	0	8	2	
85	L	f	0.00	2026-02-15 11:47:56.434+00	2026-03-08 12:56:58.509793+00	83	51	85	650	0	650	0	11	0	
83	L	t	0.00	2026-02-15 11:29:26.018+00	2026-03-08 12:56:58.654768+00	82	82	83	650	0	650	0	12	0	
44	L	t	0.00	2026-01-27 06:10:10.151+00	2026-03-10 16:57:27.952528+00	43	42	44	200	0	200	0	2	0	
21	L	f	0.00	2026-01-26 11:54:42.044+00	2026-01-26 11:54:42.063+00	19	19	21	0	0	0	0	2	0	
167	R	f	0.00	2026-03-18 16:06:01.107657+00	2026-03-18 16:06:01.507836+00	166	166	167	0	0	0	0	0	5	
23	L	f	0.00	2026-01-26 11:59:39.232+00	2026-01-26 11:59:39.25+00	22	22	23	0	0	0	0	13	0	
24	L	f	0.00	2026-01-26 12:00:19.601+00	2026-01-26 12:00:19.623+00	23	22	24	0	0	0	0	12	0	
82	L	t	0.00	2026-02-15 11:22:16.383+00	2026-03-08 12:56:58.811174+00	81	35	82	750	0	750	0	13	1	
32	R	f	0.00	2026-01-26 13:44:10.948+00	2026-01-26 13:44:10.963+00	18	18	32	0	0	0	0	0	0	
81	L	f	0.00	2026-02-15 01:33:08.385+00	2026-03-08 12:56:58.958068+00	80	35	81	800	0	800	0	15	0	
151	L	t	0.00	2026-03-09 08:45:36.944232+00	2026-03-11 05:54:38.28992+00	149	149	151	0	0	0	0	0	0	
39	\N	f	0.00	2026-01-27 05:49:52.476+00	2026-01-27 05:49:52.481+00	\N	\N	39	0	0	0	0	0	0	
47	\N	t	0.00	2026-01-27 06:56:39.356+00	2026-01-27 06:56:40.293+00	\N	48	47	0	0	0	0	5	3	
48	\N	f	0.00	2026-01-27 06:56:40.216+00	2026-01-27 06:56:40.221+00	\N	\N	48	0	0	0	0	0	0	
50	\N	f	0.00	2026-01-27 07:07:22.997+00	2026-01-27 07:07:23.002+00	\N	\N	50	0	0	0	0	0	0	
142	R	t	0.00	2026-03-08 14:21:05.210832+00	2026-03-10 16:58:27.194938+00	141	42	142	0	0	0	0	0	0	
52	L	f	0.00	2026-01-28 06:51:25.743+00	2026-02-17 04:14:52.469+00	24	22	52	0	0	0	0	11	0	
53	L	f	0.00	2026-01-28 12:10:46.295+00	2026-01-28 12:10:46.313+00	52	22	53	0	0	0	0	10	0	
54	L	f	0.00	2026-01-28 12:13:35.802+00	2026-01-28 12:13:35.818+00	53	53	54	0	0	0	0	9	0	
55	L	f	0.00	2026-01-28 12:14:16.763+00	2026-01-28 12:14:16.782+00	54	22	55	0	0	0	0	8	0	
43	L	t	0.00	2026-01-27 06:01:38.226+00	2026-03-10 16:57:28.114853+00	42	42	43	300	0	300	0	3	0	
57	L	f	0.00	2026-01-28 12:16:25.916+00	2026-01-28 12:16:25.936+00	55	22	57	0	0	0	0	7	0	
58	L	f	0.00	2026-01-28 12:20:00.25+00	2026-01-28 12:20:00.266+00	57	57	58	0	0	0	0	6	0	
59	L	f	0.00	2026-01-28 12:21:20.927+00	2026-01-28 12:21:20.945+00	58	57	59	0	0	0	0	5	0	
