46	Margo-Soap	margo-soap	media/products/Untitled_design_q1vvkd	Margo Soap is enriched with natural neem extracts that help fight germs, control acne, and keep skin fresh. It gently cleanses, protects from impurities, and promotes healthy, clear skin daily.	32.00	1	0	t	2026-02-28 09:01:48.282525+00	2026-03-01 05:59:10.988556+00	12
49	Moov Cream	moov-cream	media/products/Untitled_design_oexase	Moov Pain Relief Cream provides fast relief from muscle and joint pain with a powerful Ayurvedic formula. It penetrates deeply, reduces stiffness, relaxes muscles, and helps you stay active comfortably.	225.00	1	0	t	2026-02-28 09:09:06.291735+00	2026-03-01 06:00:23.896933+00	12
52	Zundu Balm Red	zundu-balm-red	media/products/Untitled_design_kzgbyo	Zandu Balm Red provides fast relief from headaches, body aches, and cold discomfort with its strong Ayurvedic formula. It delivers warming comfort, improves blood circulation, and helps feel relaxed quickly.	48.00	1	0	t	2026-02-28 09:24:46.171111+00	2026-03-01 06:05:28.899714+00	12
22	Navam Nutri Pro	navam-nutri-pro	media/products/proo_11zon_siqmn1	Navam Nutri Pro: Traditional Women’s Health Drink\r\nElevate your daily wellness with Navam Nutri Pro, a premium plant-based protein powder crafted specifically for women. Combining the ancient wisdom of sprouted and fried grains, this 500g powerhouse features 22 natural ingredients, including Ragi, Kodo Millet, and Red Rice, enriched with Almonds, Cashews, and Pistachios.\r\nDesigned for a balanced and natural lifestyle, it serves as a nutrient-dense porridge that supports bone health and sustained energy. Simply whisk two tablespoons into milk or water, boil for two minutes, and enjoy. Pure, traditional, and free from artificial fillers—it’s India’s premium choice for holistic nutrition.	2000.00	400	0	t	2026-02-27 19:07:11.429232+00	2026-02-27 19:07:11.429245+00	6
24	Utro Free	utro-free	media/products/utro_free_1_ghgj2d	UTRO FREE 100% Natural Bamboo Pads are designed for the strong, fearless woman who prioritizes both health and the environment. Crafted from ultra-soft bamboo fiber, these pads provide a breathable, rash-free experience with superior absorption and advanced odor control technology.\r\nCompletely free from plastics and harsh chemicals, our 100% biodegradable pads offer a sustainable alternative that is safe for your skin and the soil. By choosing UTRO FREE, you embrace a premium, eco-conscious lifestyle without compromising on comfort. Make a small change for a big impact. Feel Pure. Feel Free.	600.00	120	0	t	2026-02-27 19:40:32.472238+00	2026-02-27 19:40:32.472249+00	6
20	Coorg- Packages	coorg-packages	media/products/Untitled_design_owv9qh	INCLUSIONS:\r\n* Comfortable stay in 3* category hotel accommodation\r\n* 2N stay in Coorg Deluxe Room (Check-in: 2:00 PM)\r\n* Double sharing basis room – 1 Nos\r\n* Breakfast & Dinner (4 times)\r\n* Pickup and drop from Mysore Railway Station\r\n* 3 days private cab for sightseeing\r\n* 24x7 Tamil speaking coordinator assistance\r\nEXCLUSIONS:\r\n* 1st Breakfast on Day 01 & Last Day Dinner\r\n* Laundry services\r\n* Trekking\r\n* All entrance fees – Off road jeep rides – Adventure sports – Rides – Boating, Camp fire charges excluded\r\n* Game activities\r\n* Extra day sightseeing\r\n* Shopping costs\r\n* GST 5%\r\nDETAILED TOUR ITINERARY:\r\nDAY 01: MYSURU TO COORG\r\n* Check in & Freshup\r\n* Golden Temple\r\n* Nisarga Dhama\r\n* Dubare Forest\r\n* Harangi Dam\r\n* Dubare Forest Elephant Camp\r\n* Dinner\r\n* Overnight Stay\r\nDAY 02: ABBEY FALLS\r\n* Breakfast\r\n* Thalakaveri\r\n* Bhagamandala\r\n* Abbey Falls\r\n* Raja's Seat\r\n* Dinner\r\n* Overnight Stay\r\nDAY 03: CHECK OUT & MYSURU\r\n* Breakfast\r\n* Mysore Palace\r\n* Zoo\r\n* Chamundi Temple\r\n* Drop	25800.00	10	0	t	2026-02-27 18:50:14.589565+00	2026-02-28 06:16:35.91135+00	7
18	Manali- Family package	manali-family-package	media/products/Untitled_design_zfted5	Travel Package: MANALI FAMILY PACKAGE\r\nPrice: ₹ 12999.00 \r\nDuration: 03N / 04 Days Completely in Manali\r\nINCLUSIONS 📌\r\n* 📌 Delhi - Manali - Delhi Volvo Bus 2 Tickets\r\n* 📌 3 Night Accommodation in hotel\r\n* 📌 Double Sharing Basis Accommodation in Hotel (Deluxe Room in Use, Non AC Room)\r\n* 📌 All Days Breakfast and Dinner\r\n* 📌 Pick up and Drop from Manali Volvo Bus Stand to Hotel\r\n* 📌 One Day Sightseeing of Local Manali by Private Car\r\n* 📌 One Full Day Sightseeing of Solang Valley by Private Car\r\n* 📌 One Full Day Sightseeing of Kullu - Nagar Castle by Private Car\r\n* 📌 All taxes included\r\nEXCLUSIONS\r\n* ❌ Up & down traveling Charges to Delhi\r\n* ❌ Lunch Food\r\n* ❌ Entry Charges\r\nEXTRAS\r\n* 🔳 Room Heater\r\n* 🔳 Game Activities\r\n* 🔳 Entry Fee in sightseeing places\r\n* 🔳 Kesar Milk, Cake for Honeymoon Night\r\n* 🔳 Rotang Pass\r\n* 🔳 Sissu Valley\r\n* 🔳 Extra Day Sightseeing\r\n* 🔳 Shopping Costs\r\nITINERARY\r\nDAY 01: DELHI - MANALI (570 KMS)\r\nCatch the Volvo bus from Delhi to Manali in the evening (5:00 P.M) to proceed Overnight journey towards Manali in the Volvo bus.\r\nDAY 02: MANALI ARRIVAL (LOCAL MANALI)\r\nArrive Manali in the morning, check in the hotel and after having some rest proceed to local Manali Sightseeing:\r\n* 📍 Hadimba Devi Temple\r\n* 📍 Manu Temple Van Vihar\r\n* 📍 Club House\r\n* 📍 Shiva Temple\r\n* 📍 Tibetan Monasteries\r\n* 📍 Evening free to visit Mall Road\r\n* 📍 Dinner\r\n* 📍 Overnight stay at the hotel\r\nDAY 03: SOLANG VALLEY\r\nMorning after breakfast proceed to full day sightseeing:\r\n* 📍 Solang Valley\r\n* 📍 Dinner\r\n* 📍 Overnight stay at hotel\r\nDAY 04: KULLU-NAGGAR\r\nMorning after breakfast, Full day sightseeing:\r\n* 📍 Kullu Valley\r\n* 📍 Naggar Castle Sightseeing\r\n* 📍 Parvati River\r\n* 📍 Vaishno Devi Temple\r\nDAY 05: MANALI TO DELHI\r\nMorning after Breakfast, Check out form the hotel. And the rest of the day at leisure in the evening catch the volvo bus from Manali to Delhi overnight Journey in the bus.	12999.00	10	0	t	2026-02-27 18:31:54.912336+00	2026-02-28 06:04:03.597058+00	7
32	Meera-Anti Dandruff Shampoo	meera	media/products/Untitled_design_qxbl1y	Meera Anti-Dandruff Shampoo combines herbal ingredients to gently cleanse the scalp and reduce dandruff. It controls flakes, soothes irritation, and strengthens hair roots. Regular use keeps hair fresh, soft, and healthy, giving long-lasting cleanliness and a naturally refreshed feeling daily.	674.00	1	0	t	2026-02-28 06:53:39.358324+00	2026-03-01 05:52:25.571108+00	12
19	Goa Family Package	goa-family-package	media/products/Untitled_design_grrfiz	GOA FAMILY TOUR PACKAGES \r\n₹ 11,999.00 \r\n🔥 A COMPLETE GOA TOUR @ Rs. 6999/- per person 🔥\r\nExplore Goa in 2Nights/3Days... 🤩🥳\r\n(Note : To Customize package For extra Days reach us Directly) 🤝\r\nINCLUSIONS 👍\r\n❣️ One way Train Fare 🚄\r\n❣️ *Railway station Pickup and drop *\r\n❣️ 2 Nights Stay in Resort 🏠\r\n🔸 AC ROOM WITH SWIMMING POOL\r\n🔸 BALCONY + BAR/ RESTAURANT\r\n🔸 Resort is nearby Baga Beach\r\n(Check-in 12pm, check out 10am)\r\n❣️ Breakfast, and Dinner for all the days in Goa 🥣\r\n🔸 One time Non-Veg a day (Limited)\r\n❣️ 2 Days North & South Goa Sightseeing\r\n🔸 one day north goa\r\n🔸 one dy South goa\r\n❣️ Local Tamil Co-ordinator Assistance 😊\r\nEXCLUSIONS 👎\r\n✖️ Entries for Pubs & other Activities\r\n✖️ RETURN TRAIN FARE	11999.00	10	0	t	2026-02-27 18:39:29.043886+00	2026-02-28 06:27:46.113758+00	7
50	Nycil  Powder	nycil-powder	media/products/Untitled_design_hxrhwj	Nycil Cooling Powder protects skin from sweat, heat, and itching with its soothing formula. It absorbs excess moisture, prevents rashes, and keeps skin cool, fresh, and comfortable throughout summer days.	225.00	1	0	t	2026-02-28 09:11:20.172152+00	2026-03-01 06:03:35.737412+00	12
47	Munch Max	munch-max	media/products/Untitled_design_f0iaa0	Nestlé Munch Max is a crunchy wafer chocolate bar layered with delicious cocoa cream and coated in rich chocolate, offering a light, crispy bite perfect for quick snacks and cravings.	20.00	1	0	t	2026-02-28 09:04:12.257904+00	2026-03-01 06:34:20.46543+00	12
26	Vedaon-Pure Alovera Gel	vedaon-pure-alovera-gel	media/products/allo_zmb378	This VEDAON Premium Pure Aloe Vera Gel is presented as a versatile, all-natural beauty solution housed in a clear, textured glass jar with a sophisticated deep-green and gold label. Marketed as "Nature’s Elixir," the product is designed for multi-purpose use on the face, body, and hair.\r\nThe formula emphasizes purity, specifically highlighting that it is alcohol and paraben-free, making it a gentle choice for sensitive skin. The gel’s crystal-clear consistency suggests a lightweight, non-greasy texture intended to hydrate and soothe. Surrounded by fresh aloe leaves and delicate white flora, the packaging reflects an eco-conscious, botanical aesthetic rooted in wellness.	160.00	32	0	t	2026-02-27 19:50:38.19006+00	2026-02-27 19:50:38.190072+00	6
27	Vedaon - Nirvaa	vedaon-nirvaa	media/products/char_1_dybys2	Elevate your daily ritual with Vedaon Nirvaa’s Activated Charcoal Soap, a masterpiece of handcrafted skincare. Encased in elegant, gold-embellished packaging, this 100% natural and organic soap is designed for those who seek a deep, detoxifying cleanse without compromising on luxury.\r\nInfused with premium organic activated charcoal, coconut oil, and olive oil, the gentle formula draws out impurities and excess oils while nourishing the skin. Its rich, velvety lather leaves your complexion feeling purified, refreshed, and balanced. Experience the "luxury of nature" with a chemical-free, sustainable bar that prioritizes both your skin’s health and the planet’s well-being.	240.00	48	0	t	2026-02-27 19:55:16.858127+00	2026-02-27 19:55:16.858139+00	6
23	Sea Buckthorn Juice	sea-buckthorn-juice	media/products/buck_mkfsrd	Vedaon Natural Sea Buckthorn Juice is a potent, nutrient-dense wellness elixir crafted from pure Himalayan berries. Often called the "Holy Fruit," this juice is a rare plant-based source of Omega-3, 6, 9, and the elusive Omega-7, which supports skin regeneration and digestive health.  \r\nRich in Vitamin C, flavonoids, and antioxidants, it serves as a powerful immunity booster and natural energy enhancer. Its tart, citrusy profile reflects its raw, minimally processed nature, ensuring no artificial colors or flavors. Regular consumption aids in detoxifying the body, improving cardiovascular health, and maintaining a radiant complexion.  \r\nKey Benefits\r\n* Heart Health: High Omega-7 content helps maintain healthy cholesterol levels.  \r\n* Skin Vitality: Promotes collagen production and hydration.  \r\n* Immune Support: Packed with more Vitamin C than oranges.	3000.00	100	0	t	2026-02-27 19:26:01.759882+00	2026-02-27 21:03:47.32311+00	6
