7	500.00	t	2026-02-26	2026-01-27 05:52:37.899+00	31
8	500.00	t	2026-03-28	2026-01-27 05:52:37.899+00	31
9	500.00	t	2026-04-27	2026-01-27 05:52:37.899+00	31
10	500.00	t	2026-05-27	2026-01-27 05:52:37.899+00	31
11	500.00	t	2026-06-26	2026-01-27 05:52:37.899+00	31
12	500.00	t	2026-07-26	2026-01-27 05:52:37.899+00	31
13	500.00	t	2026-04-23	2026-03-24 09:24:57.298637+00	197
14	500.00	t	2026-05-23	2026-03-24 09:24:57.572835+00	197
15	500.00	t	2026-06-22	2026-03-24 09:24:57.840295+00	197
16	500.00	t	2026-07-22	2026-03-24 09:24:58.113801+00	197
17	500.00	t	2026-08-21	2026-03-24 09:24:58.385835+00	197
18	500.00	t	2026-09-20	2026-03-24 09:24:58.649646+00	197
19	500.00	t	2026-04-23	2026-03-24 09:25:07.841213+00	199
20	500.00	t	2026-05-23	2026-03-24 09:25:08.14042+00	199
21	500.00	t	2026-06-22	2026-03-24 09:25:08.410745+00	199
22	500.00	t	2026-07-22	2026-03-24 09:25:08.666925+00	199
23	500.00	t	2026-08-21	2026-03-24 09:25:08.925437+00	199
24	500.00	t	2026-09-20	2026-03-24 09:25:09.178882+00	199
25	500.00	t	2026-04-23	2026-03-24 09:25:13.69771+00	200
26	500.00	t	2026-05-23	2026-03-24 09:25:13.959633+00	200
27	500.00	t	2026-06-22	2026-03-24 09:25:14.21928+00	200
28	500.00	t	2026-07-22	2026-03-24 09:25:14.472857+00	200
29	500.00	t	2026-08-21	2026-03-24 09:25:14.723793+00	200
30	500.00	t	2026-09-20	2026-03-24 09:25:14.984258+00	200
31	500.00	t	2026-04-23	2026-03-24 09:25:19.882071+00	201
32	500.00	t	2026-05-23	2026-03-24 09:25:20.217256+00	201
33	500.00	t	2026-06-22	2026-03-24 09:25:20.480484+00	201
34	500.00	t	2026-07-22	2026-03-24 09:25:20.732857+00	201
35	500.00	t	2026-08-21	2026-03-24 09:25:21.005826+00	201
36	500.00	t	2026-09-20	2026-03-24 09:25:21.274748+00	201
37	500.00	t	2026-04-23	2026-03-24 09:25:33.781471+00	204
38	500.00	t	2026-05-23	2026-03-24 09:25:34.033893+00	204
39	500.00	t	2026-06-22	2026-03-24 09:25:34.283231+00	204
40	500.00	t	2026-07-22	2026-03-24 09:25:34.533526+00	204
41	500.00	t	2026-08-21	2026-03-24 09:25:34.789719+00	204
42	500.00	t	2026-09-20	2026-03-24 09:25:35.054823+00	204
\.


